indentation_app	force_app		indentation_ret	force_ret	
0.538343024765069	0.387874082792818		0.635307616426977	0.295766307992398	
0.563808473080318	0.402209923228681		0.660773064742225	0.319420444711572	
0.596130003634286	0.416187367653647		0.667629146980945	0.33841543328909	
0.621595451949535	0.432673584154889		0.705827319453818	0.357052025855712	
0.6480403405846	0.447009424590752		0.718560043611443	0.383214934651162	
0.660773064742225	0.463495641091995		0.745004932246508	0.399701151152405	
0.686238513057473	0.477473085516961		0.763614298323036	0.423355287871579	
0.705827319453818	0.501127222236135		0.783203104719381	0.444500652514476	
0.731292767769067	0.524781358955309		0.790059186958101	0.470663561309926	
0.750881574165412	0.541267575456551		0.802791911115726	0.489300153876548	
0.763614298323036	0.55811218796869		0.835113441669695	0.508295142454067	
0.783203104719381	0.574598404469933		0.85470224806604	0.524781358955309	
0.795935828877005	0.58642547282952		0.880167696381289	0.546285119609103	
0.809647993354447	0.600402917254486		0.899756502777634	0.562771336110346	
0.82238071751207	0.612229985614073		0.912489226935258	0.583916700753244	
0.860578889984944	0.633375350256971		0.944810757489226	0.610079609548694	
0.887023778620009	0.654879110910766		0.970276205804475	0.628716202115316	
0.905633144696536	0.668856555335732		0.983988370281916	0.654879110910766	
0.919345309173979	0.685342771836974		0.983988370281916	0.678533247629939	
0.944810757489226	0.704337760414493		0.996721094439541	0.702187384349113	
0.951666839727948	0.718673600850356		1.02218654275479	0.725483125057391	
0.964399563885571	0.732651045275322		1.03491926691241	0.746986885711185	
0.983988370281916	0.749137261776565		1.05450807330876	0.765623478277807	
0.996721094439541	0.770641022430359		1.08682960386273	0.789277614996981	
1.00259773635844	0.784618466855325		1.09956232802035	0.80612222750912	
1.02904262499351	0.798954307291188		1.1191511344167	0.827267592152018	
1.04765199107004	0.815440523792431		1.13873994081304	0.84375380865326	
1.06724079746638	0.831926740293673		1.15147266497067	0.864899173296158	
1.09368568610145	0.846262580729536		1.17693811328591	0.886402933949953	
1.12600721665542	0.862748797230779		1.19652691968226	0.90754829859285	
1.13873994081304	0.883894161873676		1.23570453247495	0.928693663235748	
1.15147266497067	0.893212458156988		1.28075878718654	0.943029503671611	
1.17693811328591	0.90969867465823		1.31895695965942	0.961666096238233	
1.20925964383988	0.926543287170369		1.35813457245211	0.976001936674096	
1.22884845023623	0.943029503671611		1.39045610300607	0.990337777109959	
1.24843725663257	0.957006948096578		1.41592155132132	1.00431522153493	
1.28075878718654	0.968834016456165				
1.31895695965942	0.983169856892028				
1.35127849021338	0.987829005033683				
1.37772337884845	0.99965607339327				
1.41004490940242	1.0068239936112				
